製品名,価格 (円),商品配置場所,特徴
iPhone15 - 128GB,120000,6Fのエレベーター前,最新モデル、高速処理
Samsung Galaxy S23,110000,5Fのエスカレーター横,大画面、高解像度
Panasonic Lumix GH6,250000,4Fのカメラコーナー,4K動画撮影、高性能レンズ
Sony Bravia XR-55A90J,300000,6Fのテレビ売り場,55インチ、OLEDディスプレイ
Toshiba Dynabook T8,150000,5FのPCコーナー,軽量、長時間バッテリー
Canon EOS R6,280000,4Fのカメラコーナー,フルフレーム、高速AF
Apple Watch Series 8,60000,6Fのエレベーター前,健康機能充実、デザイン性
Dyson V12 Vacuum,75000,3Fの家電エリア,コードレス、強力吸引
Bose QuietComfort 45,40000,2Fのオーディオコーナー,ノイズキャンセリング、快適フィット
Nintendo Switch Pro,35000,5Fのゲームエリア,高解像度、多機能コントローラ
LG OLED TV 65inch,320000,6Fのテレビ売り場,OLED、スマート機能
Sony WH-1000XM4,45000,2Fのオーディオコーナー,ワイヤレス、高音質
Panasonic Rice Cooker,18000,3Fの家電エリア,10合炊き、AI機能
Apple MacBook Pro,250000,5FのPCコーナー,M1チップ、高速処理
Samsung Refrigerator,180000,1Fの大型家電エリア,節電、大容量
Hitachi Air Purifier,22000,3Fの家電エリア,高性能フィルタ、静音設計
Sony PS5,60000,5Fのゲームエリア,高解像度ゲーム、迅速ロード
Canon PIXMA Printer,12000,4Fのオフィスエリア,高解像度印刷、Wi-Fi機能
Braun Electric Shaver,15000,2Fの美容エリア,防水、3枚刃
Philips Hue Light,8000,3Fの照明エリア,カラーチェンジ、スマートコントロール
Apple iPad Pro,95000,5Fのタブレットコーナー,12.9インチ、M1チップ
Sharp AQUOS TV,200000,6Fのテレビ売り場,60インチ、4K解像度
Nintendo Switch Lite,20000,5Fのゲームエリア,携帯専用、軽量
Sony Alpha A7III,230000,4Fのカメラコーナー,フルフレーム、高画質
Bose SoundLink,30000,2Fのオーディオコーナー,Bluetooth、ポータブル
Panasonic Hair Dryer,14000,2Fの美容エリア,ナノケア、静音設計
Samsung SSD 1TB,15000,5FのPCアクセサリーエリア,高速読み書き、コンパクト
Dell XPS 15,220000,5FのPCコーナー,15.6インチ、高性能
GoPro HERO9,50000,4Fのカメラコーナー,4K動画、防水
LG Washing Machine,160000,1Fの大型家電エリア,8kg容量、節水設計
JBL Flip 5,12000,2Fのオーディオコーナー,防水、長時間バッテリー
Fitbit Charge 4,18000,6Fのウェアラブルエリア,心拍数モニター、GPS機能
Panasonic Microwave,25000,3Fの家電エリア,28L容量、自動調理機能
Sony Xperia 5,90000,5Fのスマホエリア,6.1インチ、高画質カメラ
Dyson Airwrap,45000,2Fの美容エリア,多機能スタイラー、高速乾燥
Samsung Galaxy Tab,80000,5Fのタブレットコーナー,10.4インチ、軽量
Canon PIXMA Scanner,9000,4Fのオフィスエリア,高解像度、コンパクト
Braun Coffee Maker,15000,3Fの家電エリア,10杯容量、自動オフ機能
Philips Sonicare,12000,2Fの美容エリア,電動歯ブラシ、タイマー機能
Logitech MX Master 3,10000,5FのPCアクセサリーエリア,高精度、マルチデバイス対応
Apple AirPods Pro,30000,5Fのオーディオコーナー,ノイズキャンセリング、ワイヤレス
Panasonic OLED TV,280000,6Fのテレビ売り場,65インチ、HDR対応
Xbox Series X,60000,5Fのゲームエリア,4Kゲーム、高速ロード
Nikon Z6,220000,4Fのカメラコーナー,フルフレーム、ミラーレス
Beats Powerbeats Pro,25000,2Fのオーディオコーナー,耐汗・防水、長時間再生
Toshiba Electric Kettle,8000,3Fの家電エリア,1.5L容量、自動電源オフ
Samsung Galaxy Note,110000,5Fのスマホエリア,6.7インチ、Sペン付属
LG Sound Bar,40000,6Fのオーディオエリア,サラウンドサウンド、Bluetooth対応
GoPro MAX,55000,4Fのカメラコーナー,360度撮影、防水
Whirlpool Refrigerator,200000,1Fの大型家電エリア,500L容量、節電設計
Sony WH-1000XM3,40000,2Fのオーディオコーナー,ノイズキャンセリング、ワイヤレス
Garmin Forerunner 245,30000,6Fのウェアラブルエリア,ランニングウォッチ、GPS機能
Panasonic Bread Maker,20000,3Fの家電エリア,自動調理、多機能
OnePlus 8 Pro,95000,5Fのスマホエリア,6.78インチ、高速充電
Dyson Pure Cool,60000,2Fの家電エリア,空気清浄機能、扇風機
Samsung Galaxy Watch,35000,6Fのウェアラブルエリア,心拍数モニター、長時間バッテリー
Epson EcoTank Printer,30000,4Fのオフィスエリア,高容量インク、Wi-Fi機能
Nespresso Coffee Machine,25000,3Fの家電エリア,カプセル式、高速抽出
Philips Wake-Up Light,15000,3Fの照明エリア,自然な目覚め、タイマー機能
Logitech G Pro X,18000,5Fのゲームアクセサリーエリア,ゲーミングヘッドセット、高音質
